claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,1984_in_Argentine_football,Certified_Accountant,Le_Temps_d'un_film,Shakespeare_Company,1996–97_Belgian_First_Division
150448,Music_of_Asia,South_Asian_literature,List_of_years_in_hip_hop_music,Roman_Baths,Yampa_River_Botanic_Park
214861,History_of_art,Narrative,Fine_art,List_of_Guggenheim_Fellowships_awarded_in_1968,All_You've_Got
156709,List_of_breweries_in_Arizona,History_of_Rome_-LRB-disambiguation-RRB,South_Asian_literature,List_of_film_festivals_in_China,Sold
129629,Homeland_-LRB-TV_series-RRB-,Tri-Eastern_Conference_All-Sports_Titles,2010_Corsica_Football_Cup,Thing_Called_Love,Belgian_First_Division
33078,List_of_Boston_Celtics_head_coaches,Boston_Celtics,Red_Auerbach,Valley_Hospital,Arthur_Rylands_Lowe
6744,Katherine_Orrison,The_Nth_Commandment,The_King_of_Kings_-LRB-1927_film-RRB-,Debra_Paget,Fredric_M._Frank
226034,Julissa_Bermudez,1920s_in_games,List_of_breweries_in_Arizona,List_of_Turkish_film_directors,2010s_in_film
40190,Cyndi_Lauper,Western_literature,National_Games,Lists_of_games,1985_in_television
76253,The_Hunger_Games,Laurie_Spiegel,Master_Shake,Carl_Brutananadilewski,Josh_Hutcherson
