claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Jim_Paymar,Carol_Iovanna,Melinda_Jacobs_Grodnick,'Hotel_Russell-Lamson,James_Robert_Parish
150448,Giancarlo_Volpe,List_of_video_game_crowdfunding_projects,'Only_Much_Louder,Rape!_13th_Hour,Tosyn_Bucknor
214861,History_of_art,Art,Narrative,Fine_art,List_of_Guggenheim_Fellowships_awarded_in_1968
156709,All_You've_Got,Empire_Girls-COLON-_Julissa_and_Adrienne,I'm_in_Love_with_a_Church_Girl,3LW,Julissa_Bermudez
129629,Homeland_-LRB-TV_series-RRB-,List_of_Homeland_episodes,Andrew_Kaplan,Andrew_Kaplan,'Homeland_-LRB-season_2-RRB-
33078,Boston_Celtic,'List_of_Boston_Celtics_head_coaches,Red_Auerbach,1974–75_Boston_Celtics_season,2014–15_Providence_Friars_men's_ice_hockey_season
6744,The_Ten_Commandments_-LRB-1956_film-RRB-,Cecil_B._DeMille,Yvonne_De_Carlo,The_Prince_of_Egypt,Production_of_Ben-Hur_-LRB-1959_film-RRB-
226034,Tetris,Sechs_Kies_discography,Io_vagabondo,DIVISI,Peggy_Anderson
40190,Cyndi_Lauper,List_of_Billboard_200_number-one_albums_of_1985,'Miss_Ko,India_Martínez,'Billy_Ocean
76253,The_Hunger_Games,Master_Shake,Carl_Brutananadilewski,Laurie_Spiegel,'Josh_Hutcherson
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
