claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Steam_Navigation_Company,Pteropodinae,Fox_Theatre,List_of_electric_supply_companies_in_Pakistan,List_of_breweries_in_Arizona
150448,History_of_Rome_-LRB-disambiguation-RRB-,Content_development,Roman_-LRB-name-RRB-,Roman_Baths,Content_Engineering
214861,Music_of_Asia,South_Asian_literature,Western_literature,List_of_language_histories,List_of_years_in_hip_hop_music
156709,Certified_Accountant,Adrienne_-LRB-disambiguation-RRB-,Professional_accounting_body,,Paul_Vårdal
129629,American_University_-LRB-disambiguation-RRB-,List_of_Hispanic_and_Latino_Americans,Timeline_of_the_British_Army_1800–99,The_Punisher_-LRB-comics-RRB-,'Talley_-LRB-name-RRB-
33078,Yampa_River_Botanic_Park,List_of_botanical_gardens_in_Japan,Boston_-LRB-dance-RRB-,New_Boston,Garden_Village
6744,List_of_Turkish_film_directors,2010s_in_film,Charley's_Aunt_-LRB-disambiguation-RRB-,List_of_film_festivals_in_China,List_of_film_institutes
226034,Physical_Society,Sunshine_Millions,Physical,Causal_closure,Sold
40190,1985_in_television,Best_of_the_Best,27th_Division,Best_Kept_Secret,List_of_alumni_of_the_Accademia_di_Brera
76253,Lists_of_Nintendo_games,National_Games,Sultanabad,Lists_of_games,Canadian_Commonwealth_Games
