claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,New_Amsterdam_-LRB-TV_series-RRB-,Gods_of_Egypt_-LRB-film-RRB-,Nikolaj_Coster-Waldau,The_Other_Woman_-LRB-2014_film-RRB-,Small_Crimes
150448,Giancarlo_Volpe,List_of_video_game_crowdfunding_projects,List_of_Mormon_cartoonists,Archival_appraisal,Uche_Odoh
214861,American_Academy_of_Arts_and_Letters_Gold_Medals,Baroque,Research_and_Humanities_in_Medical_Education,Expressionism,Bruno_Munari
156709,Alfonso_Gagliano,Empire_Girls-COLON-_Julissa_and_Adrienne,Julissa_Bermudez,That's_So_Raven_-LRB-season_2-RRB-,I_Wonder_If_I_Take_You_Home
129629,The_bride_is_beautiful_but_she_is_married_to_another_man,List_of_Homeland_episodes,Gideon_Raff,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-season_2-RRB-
33078,Kdrew,Red_Auerbach,Dennis_Johnson,1995_NBA_Playoffs,1994–95_Orlando_Magic_season
6744,Charlton_Heston,Debra_Paget,Albert_Nozaki,Fredric_M._Frank,Loyal_Griggs
226034,Sechs_Kies_discography,Minecraft,Wii_Sports,Super_Mario_Land,List_of_best-selling_Game_Boy_video_games
40190,Phil_Collins_discography,Summertime-COLON-_Willie_Nelson_Sings_Gershwin,Janet_Perr,Dare_to_Be_Stupid,I_Wanna_Dance_with_Somebody_-LRB-Who_Loves_Me-RRB-
76253,Carl_Brutananadilewski,Master_Shake,Josh_Hutcherson,Laurie_Spiegel,Brass_Castle_-LRB-band-RRB-
